Date,OpenRUSSIA,HighRUSSIA,LowRUSSIA,CloseRUSSIA
06/29/2024,0.011665,0.011665,0.011665,0.011665
06/28/2024,0.011765,0.011768,0.011332,0.011765
06/27/2024,0.011332,0.011829,0.011331,0.011332
06/26/2024,0.011429,0.011595,0.01128,0.011429
06/25/2024,0.011364,0.011502,0.011331,0.011364
06/24/2024,0.01145,0.011563,0.011204,0.011449
06/21/2024,0.011446,0.011448,0.011173,0.011445
06/20/2024,0.011977,0.012033,0.011396,0.011977
06/19/2024,0.011713,0.012087,0.011594,0.011713
06/18/2024,0.011271,0.011588,0.011252,0.011271
06/17/2024,0.011354,0.01136,0.011173,0.011355
06/14/2024,0.011382,0.011383,0.011081,0.01138
06/13/2024,0.011236,0.011662,0.0109,0.011236
06/12/2024,0.011205,0.011263,0.011184,0.011205
06/11/2024,0.011252,0.011278,0.011194,0.011252
06/10/2024,0.011257,0.011268,0.011188,0.011257
06/07/2024,0.011196,0.011263,0.011183,0.011196
06/06/2024,0.01123,0.011307,0.011211,0.01123
06/05/2024,0.011243,0.011244,0.011223,0.011296
06/04/2024,0.011196,0.011196,0.011196,0.011196
06/03/2024,0.01106,0.01106,0.01106,0.01106
05/31/2024,0.011061,0.011061,0.011056,0.011164
05/30/2024,0.011164,0.011164,0.011164,0.011164
05/29/2024,0.011291,0.011291,0.011291,0.010915
05/28/2024,0.010915,0.010915,0.010915,0.010915
05/27/2024,0.010915,0.010915,0.010915,0.010915
05/24/2024,0.010915,0.010915,0.010915,0.010915
05/23/2024,0.011072,0.011088,0.011072,0.011072
05/22/2024,0.011072,0.011072,0.011072,0.011072
05/21/2024,0.011075,0.011075,0.011075,0.011075
05/20/2024,0.011005,0.011005,0.011005,0.01102
05/17/2024,0.011005,0.011005,0.011005,0.01102
05/16/2024,0.01102,0.01102,0.01102,0.01102
05/15/2024,0.010951,0.010951,0.010951,0.010951
05/14/2024,0.010915,0.010915,0.010915,0.010915
05/13/2024,0.010915,0.010915,0.010915,0.010915
05/10/2024,0.010915,0.010915,0.010915,0.010915
05/09/2024,0.010955,0.010955,0.010915,0.010955
05/08/2024,0.010981,0.010981,0.010955,0.010981
05/07/2024,0.010981,0.010981,0.010981,0.010981
05/06/2024,0.010812,0.011029,0.010812,0.010723
05/03/2024,0.010812,0.010812,0.010812,0.010723
05/02/2024,0.010723,0.010723,0.010723,0.010723
05/01/2024,0.010704,0.010704,0.010704,0.010704
04/30/2024,0.010704,0.010704,0.010704,0.010704
04/29/2024,0.010838,0.010838,0.010838,0.010838
04/26/2024,0.010838,0.010838,0.010838,0.010838
04/25/2024,0.010838,0.010838,0.010838,0.010699
04/24/2024,0.010699,0.010699,0.010699,0.01075
04/23/2024,0.010699,0.010699,0.010699,0.01075
04/22/2024,0.010672,0.01073,0.010672,0.010672
04/19/2024,0.010672,0.010672,0.010672,0.010672
04/18/2024,0.010622,0.010622,0.010622,0.010622
04/17/2024,0.010622,0.010622,0.010622,0.010718
04/16/2024,0.010718,0.010718,0.010718,0.010718
04/15/2024,0.010718,0.010718,0.010718,0.010718
04/12/2024,0.010765,0.010765,0.010765,0.010765
04/11/2024,0.010765,0.010765,0.010765,0.010765
04/10/2024,0.010797,0.010797,0.010765,0.010797
04/09/2024,0.010797,0.010797,0.010797,0.010797
04/08/2024,0.010803,0.010803,0.010803,0.010803
04/05/2024,0.010817,0.010817,0.010817,0.010817
04/04/2024,0.010817,0.010817,0.010817,0.010817
04/03/2024,0.010817,0.010817,0.010817,0.010837
04/02/2024,0.010837,0.010837,0.010837,0.010837
04/01/2024,0.010803,0.010803,0.010803,0.010803
03/29/2024,0.010818,0.010818,0.010818,0.010818
03/28/2024,0.010818,0.010818,0.010818,0.010818
03/27/2024,0.010814,0.010814,0.010814,0.010814
03/26/2024,0.010814,0.010814,0.010814,0.010814
03/25/2024,0.010855,0.010855,0.010814,0.010855
03/22/2024,0.010828,0.010828,0.010828,0.010828
03/21/2024,0.010841,0.010841,0.010828,0.010936
03/20/2024,0.010841,0.010841,0.010841,0.010936
03/19/2024,0.010808,0.010936,0.010808,0.010808
03/18/2024,0.010808,0.010808,0.010808,0.010808
03/15/2024,0.010915,0.010915,0.010915,0.010948
03/14/2024,0.010948,0.010948,0.010948,0.010948
03/13/2024,0.010903,0.010903,0.010903,0.010903
03/12/2024,0.011051,0.011051,0.011051,0.011051
03/11/2024,0.010996,0.010996,0.010996,0.010996
03/08/2024,0.011033,0.011033,0.011033,0.011012
03/07/2024,0.011012,0.011012,0.011012,0.011012
03/06/2024,0.011012,0.011012,0.011012,0.010916
03/05/2024,0.01093,0.01093,0.010916,0.01093
03/04/2024,0.01093,0.01093,0.010916,0.01093
03/01/2024,0.01093,0.01093,0.01093,0.01093
02/29/2024,0.010885,0.010885,0.010865,0.010885
02/28/2024,0.010885,0.010885,0.010865,0.010885
02/27/2024,0.010885,0.010885,0.010885,0.010885
02/26/2024,0.010748,0.010748,0.010748,0.010748
02/23/2024,0.010748,0.010748,0.010748,0.010748
02/22/2024,0.010858,0.010871,0.010858,0.010858
02/21/2024,0.010858,0.010858,0.010858,0.010858
02/20/2024,0.010814,0.010814,0.010814,0.010814
02/19/2024,0.010838,0.010838,0.010814,0.010838
02/16/2024,0.010838,0.010838,0.010838,0.010838
02/15/2024,0.010912,0.010912,0.010912,0.010912
02/14/2024,0.010929,0.010929,0.010929,0.010929
